player,dealer,action,value
14,10,0,-0.782658452375231
14,10,1,-0.7819550495056403
16,10,0,-0.7673948270877714
16,10,1,-0.7666914242181807
20,4,0,-0.20316527888038327
20,4,1,-0.20246187601079255
20,10,0,-0.7368675765128522
20,10,1,-0.7361641736432615
17,10,0,-0.7597630144440416
17,10,1,-0.7590596115744509
12,4,0,-0.2642197800302217
12,4,1,-0.263516377160631
10,3,0,-0.1905330223789365
10,3,1,-0.18982961950934577
12,10,0,-0.7979220776626906
12,10,1,-0.7972186747930999
18,10,0,-0.7521312018003118
18,10,1,-0.7514277989307211
13,10,0,-0.7902902650189608
13,10,1,-0.7895868621493701
12,3,0,-0.17526939709147688
12,3,1,-0.17456599422188615
5,7,0,-0.5844936173525648
5,7,1,-0.5837902144829741
15,6,0,-0.419225107976522
15,6,1,-0.4185217051069313
9,10,0,-0.8208175155938799
9,10,1,-0.8201141127242892
11,10,0,-0.8055538903064204
11,10,1,-0.8048504874368297
13,11,0,-0.8792406479577057
13,11,1,-0.878537245088115
12,6,0,-0.4421205459077114
12,6,1,-0.4414171430381207
19,10,0,-0.744499389156582
19,10,1,-0.7437959862869913
21,5,0,-0.28448384917539826
21,5,1,-0.28378044630580757
14,6,0,-0.4268569206202518
14,6,1,-0.4261535177506611
16,3,0,-0.1447421465165577
16,3,1,-0.14403874364696698
17,3,0,-0.1371103338728279
17,3,1,-0.13640693100323717
14,3,0,-0.1600057718040173
14,3,1,-0.15930236893442656
15,5,0,-0.3302747250377771
15,5,1,-0.3295713221681864
17,9,0,-0.6708126315052968
17,9,1,-0.6701092286357061
12,5,0,-0.3531701629689665
12,5,1,-0.3524667600993758
19,8,0,-0.5665986232790924
19,8,1,-0.5658952204095017
14,9,0,-0.6937080694364862
14,9,1,-0.6930046665668955
15,2,0,-0.06342357622154264
15,2,1,-0.06272017335195192
8,10,0,-0.8284493282376098
8,10,1,-0.827745925368019
21,10,0,-0.7292357638691224
21,10,1,-0.7285323609995317
17,5,0,-0.3150110997503175
17,5,1,-0.3143076968807268
17,7,0,-0.4929118656278072
17,7,1,-0.4922084627582165
14,5,0,-0.3379065376815069
14,5,1,-0.3372031348119162
16,4,0,-0.2336925294553025
16,4,1,-0.23298912658571178
10,10,0,-0.8131857029501501
10,10,1,-0.8124823000805594
12,7,0,-0.5310709288464562
12,7,1,-0.5303675259768655
15,3,0,-0.1523739591602875
15,3,1,-0.15167055629069678
20,2,0,-0.025264513002893618
20,2,1,-0.024561110133302897
16,5,0,-0.3226429123940473
16,5,1,-0.3219395095244566
19,5,0,-0.2997474744628579
19,5,1,-0.2990440715932672
14,2,0,-0.07105538886527243
