player,dealer,action,value
13,7,0,-1.1404310737404662
13,7,1,-1.1374365571441505
19,7,0,-1.1426866603046772
19,7,1,-1.1396921437083616
14,7,0,-1.1408070048345014
14,7,1,-1.1378124882381857
16,7,0,-1.1415588670225718
16,7,1,-1.1385643504262561
12,7,0,-1.1400551426464312
12,7,1,-1.1370606260501155
20,5,0,-0.81862145725071
20,5,1,-0.8156269406543943
19,5,0,-0.8182455261566749
19,5,1,-0.8152510095603592
12,5,0,-0.8156140084984286
12,5,1,-0.8126194919021129
21,5,0,-0.8189973883447452
21,5,1,-0.8160028717484296
18,10,0,-1.628972430432646
18,10,1,-1.6259779138363304
8,10,0,-1.6252131194922943
8,10,1,-1.6222186028959786
20,10,0,-1.6297242926207165
20,10,1,-1.6267297760244008
14,10,0,-1.6274687060565054
14,10,1,-1.6244741894601897
16,5,0,-0.8171177328745693
16,5,1,-0.8141232162782537
15,5,0,-0.8167418017805341
15,5,1,-0.8137472851842185
9,9,0,-1.4633684835123282
9,9,1,-1.4603739669160125
14,9,0,-1.465248138982504
14,9,1,-1.4622536223861884
19,9,0,-1.46712779445268
19,9,1,-1.4641332778563643
17,9,0,-1.4663759322646097
17,9,1,-1.463381415668294
21,9,0,-1.4678796566407504
21,9,1,-1.4648851400444347
13,9,0,-1.4648722078884688
13,9,1,-1.4618776912921532
20,9,0,-1.4675037255467152
20,9,1,-1.4645092089503995
7,11,0,-1.7870577554722604
7,11,1,-1.7840632388759448
17,11,0,-1.7908170664126122
17,11,1,-1.7878225498162965
18,11,0,-1.7911929975066472
18,11,1,-1.7881984809103315
10,11,0,-1.7881855487543659
10,11,1,-1.7851910321580502
15,11,0,-1.7900652042245417
15,11,1,-1.787070687628226
20,4,0,-0.6564008901767087
20,4,1,-0.653406373580393
15,4,0,-0.6545212347065328
15,4,1,-0.6515267181102171
21,4,0,-0.6567768212707439
21,4,1,-0.6537823046744282
10,4,0,-0.6526415792363569
10,4,1,-0.6496470626400412
17,7,0,-1.141934798116607
17,7,1,-1.1389402815202914
10,10,0,-1.6259649816803647
10,10,1,-1.622970465084049
7,10,0,-1.6248371883982593
7,10,1,-1.6218426718019436
19,10,0,-1.6293483615266813
19,10,1,-1.6263538449303656
16,10,0,-1.6282205682445758
16,10,1,-1.6252260516482602
16,9,0,-1.4660000011705745
16,9,1,-1.4630054845742588
11,9,0,-1.4641203457003986
11,9,1,-1.461125829104083
15,9,0,-1.4656240700765393
15,9,1,-1.4626295534802236
9,5,0,-0.814486215216323
9,5,1,-0.8114916986200074
11,5,0,-0.8152380774043935
11,5,1,-0.8122435608080778
13,5,0,-0.8159899395924638
13,5,1,-0.8129954229961481
8,5,0,-0.8141102841222879
8,5,1,-0.8111157675259723
15,8,0,-1.303403503002538
15,8,1,-1.3004089864062223
16,8,0,-1.3037794340965732
16,8,1,-1.3007849175002575
17,8,0,-1.3041553651906084
17,8,1,-1.3011608485942927
13,8,0,-1.3026516408144675
13,8,1,-1.2996571242181518
11,8,0,-1.3018997786263973
11,8,1,-1.2989052620300816
21,8,0,-1.305659089566749
21,8,1,-1.3026645729704334
12,10,0,-1.6267168438684352
12,10,1,-1.6237223272721195
15,10,0,-1.6278446371505406
15,10,1,-1.624850120554225
17,10,0,-1.628596499338611
17,10,1,-1.6256019827422954
14,6,0,-0.9785864377605002
14,6,1,-0.9755919211641846
17,6,0,-0.9797142310426057
17,6,1,-0.97671971444629
12,6,0,-0.9778345755724298
12,6,1,-0.9748400589761141
13,6,0,-0.978210506666465
13,6,1,-0.9752159900701494
9,10,0,-1.6255890505863295
9,10,1,-1.6225945339900139
11,10,0,-1.6263409127744
11,10,1,-1.6233463961780843
7,4,0,-0.6515137859542514
7,4,1,-0.6485192693579357
17,4,0,-0.6552730968946031
17,4,1,-0.6522785802982874
19,4,0,-0.6560249590826736
19,4,1,-0.6530304424863579
12,4,0,-0.6533934414244272
12,4,1,-0.6503989248281116
18,8,0,-1.3045312962846434
18,8,1,-1.3015367796883277
14,8,0,-1.3030275719085027
14,8,1,-1.300033055312187
13,10,0,-1.6270927749624702
13,10,1,-1.6240982583661545
5,10,0,-1.6240853262101889
5,10,1,-1.6210908096138732
6,10,0,-1.624461257304224
6,10,1,-1.6214667407079084
12,8,0,-1.3022757097204325
12,8,1,-1.2992811931241168
20,8,0,-1.3052831584727138
20,8,1,-1.3022886418763981
8,9,0,-1.462992552418293
8,9,1,-1.4599980358219773
7,8,0,-1.3003960542502566
7,8,1,-1.297401537653941
20,6,0,-0.9808420243247112
20,6,1,-0.9778475077283956
13,4,0,-0.6537693725184625
13,4,1,-0.6507748559221468
14,4,0,-0.6541453036124977
14,4,1,-0.651150787016182
16,4,0,-0.654897165800568
16,4,1,-0.6519026492042523
18,4,0,-0.6556490279886383
18,4,1,-0.6526545113923227
9,7,0,-1.1389273493643255
