player,dealer,action,value
15,10,0,-1.3885077070701726
15,10,1,-1.3902442820620813
14,10,0,-1.386193378677249
14,10,1,-1.3879299536691576
12,10,0,-1.3815647218914016
12,10,1,-1.3833012968833103
9,11,0,-1.510001014830262
9,11,1,-1.5117375898221708
15,6,0,-0.8469905945996457
15,6,1,-0.8487271695915545
14,8,0,-1.1154348224419854
14,8,1,-1.1171713974338942
16,7,0,-0.984684201110201
16,7,1,-0.9864207761021099
12,9,0,-1.2461854437737698
12,9,1,-1.2479220187656785
13,10,0,-1.3838790502843252
13,10,1,-1.385615625276234
18,10,0,-1.3954506922489436
18,10,1,-1.3971872672408523
20,10,0,-1.4000793490347911
20,10,1,-1.4018159240266999
9,8,0,-1.1038631804773669
9,8,1,-1.1055997554692756
17,10,0,-1.39313636385602
17,10,1,-1.3948729388479286
14,2,0,-0.3031591537361952
14,2,1,-0.30489572872810394
12,2,0,-0.2985304969503478
12,2,1,-0.30026707194225655
19,5,0,-0.7208686300537088
19,5,1,-0.7226052050456176
15,4,0,-0.5762320383643823
15,4,1,-0.5779686133562911
14,7,0,-0.9800555443243537
14,7,1,-0.9817921193162625
21,3,0,-0.45473873060429276
21,3,1,-0.45647530559620153
20,9,0,-1.2647000709171594
20,9,1,-1.2664366459090681
20,3,0,-0.4524244022113691
20,3,1,-0.45416097720327786
14,3,0,-0.4385384318538269
14,3,1,-0.4402750068457357
14,6,0,-0.844676266206722
14,6,1,-0.8464128411986308
20,8,0,-1.1293207927995277
20,8,1,-1.1310573677914364
11,10,0,-1.3792503934984777
11,10,1,-1.3809869684903864
16,8,0,-1.1200634792278328
16,8,1,-1.1218000542197415
7,10,0,-1.369993079926783
7,10,1,-1.3717296549186917
16,6,0,-0.8493049229925693
16,6,1,-0.8510414979844781
16,9,0,-1.2554427573454645
16,9,1,-1.2571793323373732
21,6,0,-0.8608765649571879
21,6,1,-0.8626131399490967
16,10,0,-1.3908220354630962
16,10,1,-1.392558610455005
12,3,0,-0.43390977506797945
12,3,1,-0.4356463500598882
19,3,0,-0.45011007381844537
19,3,1,-0.45184664881035413
10,9,0,-1.2415567869879223
10,9,1,-1.243293361979831
13,9,0,-1.2484997721666935
13,9,1,-1.2502363471586022
20,6,0,-0.8585622365642641
20,6,1,-0.8602988115561729
13,3,0,-0.4362241034609032
13,3,1,-0.43796067845281195
16,5,0,-0.7139256448749377
16,5,1,-0.7156622198668465
19,10,0,-1.3977650206418675
19,10,1,-1.3995015956337762
20,2,0,-0.3170451240937374
20,2,1,-0.3187816990856462
20,7,0,-0.9939415146818958
20,7,1,-0.9956780896738047
13,7,0,-0.9777412159314299
13,7,1,-0.9794777909233388
18,3,0,-0.4477957454255217
18,3,1,-0.44953232041743046
17,9,0,-1.2577570857383882
17,9,1,-1.259493660730297
12,11,0,-1.5169440000090333
12,11,1,-1.518680575000942
9,2,0,-0.2915875117715767
9,2,1,-0.2933240867634855
15,2,0,-0.3054734821291189
15,2,1,-0.30721005712102767
21,11,0,-1.5377729555453465
21,11,1,-1.5395095305372553
14,5,0,-0.7092969880890904
14,5,1,-0.7110335630809992
