player,dealer,action,value
13,10,0,-0.42415857941576707
13,10,1,-0.4204826266397212
20,5,0,0.4977208932693611
20,5,1,0.501396846045407
17,5,0,0.33998751927441784
17,5,1,0.3436634720504637
15,6,0,0.12406494993840356
15,6,1,0.12774090271444943
9,10,0,-0.6344697447423581
9,10,1,-0.6307937919663121
14,10,0,-0.3715807880841193
14,10,1,-0.36790483530807344
20,10,0,-0.05611404009423282
20,10,1,-0.052438087318186936
19,5,0,0.44514310193771334
19,5,1,0.4488190547137592
16,10,0,-0.2664252054208238
16,10,1,-0.26274925264477794
15,10,0,-0.31900299675247157
15,10,1,-0.3153270439764257
18,10,0,-0.16126962275752832
18,10,1,-0.15759366998148244
16,9,0,-0.15565821874810504
16,9,1,-0.15198226597205916
15,3,0,0.4563659099565599
15,3,1,0.4600418627326058
14,6,0,0.07148715860675581
14,6,1,0.0751631113828017
12,6,0,-0.03366842405653969
12,6,1,-0.029992471280493805
20,6,0,0.3869539065966423
20,6,1,0.3906298593726882
11,10,0,-0.5293141620790626
11,10,1,-0.5256382093030166
19,8,0,0.11284214191955699
19,8,1,0.11651809469560288
14,2,0,0.5145551052976309
14,2,1,0.5182310580736769
13,6,0,0.018909367275108058
13,6,1,0.022585320051153945
12,10,0,-0.4767363707474148
12,10,1,-0.47306041797136894
21,10,0,-0.0035362487625851813
21,10,1,0.00013970401346070525
14,5,0,0.1822541452794746
14,5,1,0.18593009805552047
17,2,0,0.6722884792925742
17,2,1,0.6759644320686201
15,7,0,0.013297963265684776
15,7,1,0.016973916041730663
14,11,0,-0.4823477747568381
14,11,1,-0.4786718219807922
7,11,0,-0.8503923140783723
7,11,1,-0.8467163613023264
15,11,0,-0.42976998342519035
15,11,1,-0.4260940306491445
21,11,0,-0.11430323543530396
21,11,1,-0.11062728265925807
20,4,0,0.6084878799420799
20,4,1,0.6121638327181258
17,4,0,0.4507545059471366
17,4,1,0.4544304587231825
15,8,0,-0.097469023407034
15,8,1,-0.09379307063098812
20,2,0,0.8300218532875174
20,2,1,0.8336978060635634
16,4,0,0.39817671461548887
16,4,1,0.40185266739153475
15,4,0,0.3455989232838411
15,4,1,0.349274876059887
19,3,0,0.6666770752831509
19,3,1,0.6703530280591968
19,7,0,0.22360912859227577
19,7,1,0.22728508136832165
15,2,0,0.5671328966292787
15,2,1,0.5708088494053246
18,8,0,0.06026435058790924
18,8,1,0.06394030336395513
19,6,0,0.33437611526499456
19,6,1,0.33805206804104043
20,8,0,0.16541993325120474
20,8,1,0.16909588602725062
16,6,0,0.1766427412700513
16,6,1,0.18031869404609718
7,3,0,0.035743579303377904
7,3,1,0.03941953207942379
18,4,0,0.5033322972787844
18,4,1,0.5070082500548303
15,5,0,0.23483193661112234
15,5,1,0.23850788938716821
16,3,0,0.5089437012882077
16,3,1,0.5126196540642536
16,11,0,-0.3771921920935426
16,11,1,-0.3735162393174967
13,7,0,-0.09185761939761072
13,7,1,-0.08818166662156483
13,9,0,-0.3133915927430483
13,9,1,-0.3097156399670024
13,2,0,0.4619773139659832
13,2,1,0.46565326674202906
19,2,0,0.7774440619558697
19,2,1,0.7811200147319156
18,9,0,-0.05050263608480954
18,9,1,-0.046826683308763654
12,3,0,0.29863253596161665
12,3,1,0.30230848873766253
21,7,0,0.32876471125557116
21,7,1,0.33244066403161704
12,5,0,0.07709856261617909
12,5,1,0.08077451539222498
12,2,0,0.40939952263433543
12,2,1,0.4130754754103813
8,10,0,-0.6870475360740058
8,10,1,-0.6833715832979599
13,4,0,0.24044334062054562
13,4,1,0.2441192933965915
11,9,0,-0.4185471754063438
11,9,1,-0.4148712226302979
20,9,0,0.05465294657848596
20,9,1,0.058328899354531845
10,10,0,-0.5818919534107103
10,10,1,-0.5782160006346644
16,7,0,0.06587575459733253
16,7,1,0.06955170737337842
18,5,0,0.3925653106060656
18,5,1,0.39624126338211146
19,10,0,-0.10869183142588057
19,10,1,-0.10501587864983468
12,11,0,-0.5875033574201336
12,11,1,-0.5838274046440877
16,5,0,0.2874097279427701
16,5,1,0.29108568071881596
16,2,0,0.6197106879609264
16,2,1,0.6233866407369724
21,6,0,0.43953169792828994
21,6,1,0.4432076507043358
14,8,0,-0.15004681473868176
14,8,1,-0.14637086196263588
20,11,0,-0.1668810267669516
20,11,1,-0.16320507399090572
5,10,0,-0.8447809100689491
5,10,1,-0.8411049572929031
11,5,0,0.02452077128453134
11,5,1,0.028196724060577227
8,6,0,-0.2439795893831307
8,6,1,-0.24030363660708481
15,9,0,-0.2082360100797528
15,9,1,-0.2045600573037069
17,6,0,0.22922053260169906
17,6,1,0.23289648537774493
18,6,0,0.2817983239333468
18,6,1,0.2854742767093927
11,3,0,0.2460547446299689
11,3,1,0.24973069740601478
21,8,0,0.21799772458285238
21,8,1,0.22167367735889826
17,9,0,-0.10308042741645729
17,9,1,-0.0994044746404114
17,10,0,-0.21384741408917607
17,10,1,-0.2101714613131302
8,4,0,-0.022445616037693128
8,4,1,-0.01876966326164724
21,4,0,0.6610656712737275
21,4,1,0.6647416240497734
20,3,0,0.7192548666147986
20,3,1,0.7229308193908446
18,3,0,0.6140992839515031
18,3,1,0.6177752367275491
6,10,0,-0.7922031187373013
6,10,1,-0.7885271659612554
18,11,0,-0.2720366094302471
18,11,1,-0.2683606566542012
14,3,0,0.40378811862491215
14,3,1,0.40746407140095803
14,4,0,0.29302113195219337
14,4,1,0.29669708472823925
19,4,0,0.5559100886104321
19,4,1,0.559586041386478
12,9,0,-0.36596938407469604
12,9,1,-0.36229343129865016
20,7,0,0.2761869199239235
20,7,1,0.2798628726999694
17,7,0,0.11845354592898028
17,7,1,0.12212949870502617
12,7,0,-0.14443541072925847
12,7,1,-0.1407594579532126
18,2,0,0.7248662706242219
18,2,1,0.7285422234002679
5,8,0,-0.6232469367235115
5,8,1,-0.6195709839474656
7,5,0,-0.18579039404205966
7,5,1,-0.18211444126601378
13,5,0,0.12967635394782684
13,5,1,0.13335230672387272
21,5,0,0.5502986846010087
21,5,1,0.5539746373770547
11,11,0,-0.6400811487517813
11,11,1,-0.6364051959757354
13,11,0,-0.5349255660884858
13,11,1,-0.5312496133124399
13,3,0,0.3512103272932644
13,3,1,0.3548862800693103
17,3,0,0.5615214926198554
17,3,1,0.5651974453959013
21,3,0,0.7718326579464463
21,3,1,0.7755086107224922
14,9,0,-0.26081380141140054
14,9,1,-0.25713784863535466
12,8,0,-0.25520239740197725
12,8,1,-0.2515264446259314
10,7,0,-0.24959099339255397
10,7,1,-0.2459150406165081
4,7,0,-0.5650577413824405
4,7,1,-0.5613817886063945
18,7,0,0.17103133726062802
18,7,1,0.1747072900366739
10,2,0,0.30424393997103993
10,2,1,0.3079198927470858
9,8,0,-0.4129357713969205
9,8,1,-0.4092598186208746
9,11,0,-0.7452367314150768
9,11,1,-0.7415607786390309
11,2,0,0.3568217313026877
11,2,1,0.36049768407873356
6,11,0,-0.9029701054100201
6,11,1,-0.8992941526339742
13,8,0,-0.2026246060703295
13,8,1,-0.19894865329428363
