player,dealer,action,value
17,11,0,-0.12056094805851036
17,11,1,-0.11518432844330607
19,11,0,-0.006704603341807225
19,11,1,-0.0013279837266029371
15,3,0,0.5571026186069583
15,3,1,0.5624792382221626
13,3,0,0.4432462738902552
13,3,1,0.44862289350545953
18,8,0,0.23318719106815544
18,8,1,0.23856381068335972
11,8,0,-0.165310015440305
11,8,1,-0.15993339582510072
17,8,0,0.17625901870980398
17,8,1,0.18163563832500826
19,2,0,0.8837552969631357
19,2,1,0.88913191657834
20,2,0,0.9406834693214872
20,2,1,0.9460600889366915
19,9,0,0.19117537450373567
19,9,1,0.19655199411893995
16,9,0,0.020390857428681075
16,9,1,0.025767477043885365
11,9,0,-0.26425000436307644
11,9,1,-0.25887338474787214
18,9,0,0.134247202145384
18,9,1,0.13962382176058827
13,11,0,-0.3482736374919163
13,11,1,-0.342897017876712
10,11,0,-0.5190581545669708
10,11,1,-0.5136815349517665
6,11,0,-0.7467708440003769
6,11,1,-0.7413942243851726
13,2,0,0.5421862628130266
13,2,1,0.5475628824282309
10,2,0,0.37140174573797213
10,2,1,0.37677836535317644
16,2,0,0.7129707798880811
16,2,1,0.7183473995032854
13,4,0,0.3443062849674838
13,4,1,0.3496829045826881
16,4,0,0.5150908020425382
16,4,1,0.5204674216577425
20,4,0,0.7428034914759443
20,4,1,0.7481801110911486
14,6,0,0.2033544794802924
14,6,1,0.20873109909549667
16,6,0,0.3172108241969954
16,6,1,0.3225874438121997
10,6,0,-0.024358209953113552
10,6,1,-0.018981590337909263
20,6,0,0.5449235136304015
20,6,1,0.5503001332456058
12,6,0,0.08949813476358937
12,6,1,0.09487475437879365
7,10,0,-0.5909026827192538
7,10,1,-0.5855260631040495
17,10,0,-0.021620959135738915
17,10,1,-0.016244339520534626
12,10,0,-0.30626182092749643
12,10,1,-0.3008852013122921
8,10,0,-0.5339745103609024
8,10,1,-0.5285978907456981
11,10,0,-0.3631899932858479
11,10,1,-0.3578133736706436
15,10,0,-0.13547730385244183
15,10,1,-0.13010068423723756
16,10,0,-0.07854913149409037
16,10,1,-0.07317251187888608
14,11,0,-0.29134546513356485
14,11,1,-0.28596884551836055
4,11,0,-0.8606271887170798
4,11,1,-0.8552505691018755
9,10,0,-0.4770463380025509
9,10,1,-0.4716697183873466
